Experiment ID                :  scatter
Problem Type                 :  PS
Data Input File Name         :  NA
Number of Runs               :  2
Generations per Run          :  200
Population Size              :  100
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.4
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   1 G 142########### 681801.744   2249.087
 R   1 G 143########### 681801.744   2249.087
 R   1 G 144########### 681444.297   1873.416
 R   1 G 145########### 681682.595   2137.952
 R   1 G 146########### 681861.318   2300.308
 R   1 G 147########### 681980.467   2394.985
 R   1 G 148########### 681742.169    2195.04
 R   1 G 149########### 681325.147   1713.503
 R   1 G 150########### 681265.573   1624.358
 R   1 G 151########### 681027.275   1173.298
 R   1 G 152###########   680967.7   1021.385
 R   1 G 153########### 680908.126    838.245
 R   1 G 154########### 680908.126    838.245
 R   1 G 155###########   680967.7   1021.385
 R   1 G 156########### 681027.275   1173.298
 R   1 G 157###########   680967.7   1021.385
 R   1 G 158########### 680848.551    595.745
 R   1 G 159########### 680848.551    595.745
 R   1 G 160########### 680788.977       0.04
 R   1 G 161########### 680788.977       0.04
 R   1 G 162########### 680788.977       0.04
 R   1 G 163########### 680788.977       0.04
 R   1 G 164########### 680788.977       0.04
 R   1 G 165########### 680788.977       0.04
 R   1 G 166########### 680788.977       0.04
 R   1 G 167########### 680788.977       0.04
 R   1 G 168########### 680788.977       0.04
 R   1 G 169########### 680788.977       0.04
 R   1 G 170########### 680788.977       0.04
 R   1 G 171########### 680788.977       0.04
 R   1 G 172########### 680788.977       0.04
 R   1 G 173########### 680788.977       0.04
 R   1 G 174########### 680788.977       0.04
 R   1 G 175########### 680788.977       0.04
 R   1 G 176########### 680788.977       0.04
 R   1 G 177########### 680788.977       0.04
 R   1 G 178########### 680788.977       0.04
 R   1 G 179########### 680788.977       0.04
 R   1 G 180########### 680788.977       0.04
 R   1 G 181########### 680788.977       0.04
 R   1 G 182########### 680788.977       0.04
 R   1 G 183########### 680788.977       0.04
 R   1 G 184########### 680788.977       0.04
 R   1 G 185########### 680788.977       0.04
 R   1 G 186########### 680788.977       0.04
 R   1 G 187########### 680788.977       0.04
 R   1 G 188########### 680788.977       0.04
 R   1 G 189########### 680788.977       0.04
 R   1 G 190########### 680788.977       0.04
 R   1 G 191########### 680788.977       0.04
 R   1 G 192########### 680788.977       0.04
 R   1 G 193########### 680788.977       0.04
 R   1 G 194########### 680788.977       0.04
 R   1 G 195########### 680788.977       0.04
 R   1 G 196########### 680788.977       0.04
 R   1 G 197########### 680788.977       0.04
 R   1 G 198########### 680788.977       0.04
 R   1 G 199########### 680788.977       0.04
1      0          [          4          6          ,                     2          6          ,                     6          ,                     2          1          ,                     4          ,                     1          1          ,                     3          1          ,                     8          ,                     1          8          ,                     1          4          ,                     1          2          ,                     3          6          ,                     4          2   RawFitness
                  0          0          0          0          0          0          0          0          0          0          0          0          0          1          0          0          0          0          0          1          1          0          0          0          1          0          0          0          0          0          1          0          0          0          1          0          0          0          1          0          0          0          0          0          0          0          0          0       675513

 R   2 G   0########### 682748.358   2118.206
 R   2 G   1678538.7446 682784.716   1823.328
 R   2 G   2678538.7446 682599.451    1899.76
 R   2 G   3678538.7446 682458.023   1934.407
 R   2 G   4678538.7446 682526.221   1850.934
 R   2 G   5678538.7446 682468.378   2049.863
 R   2 G   6678538.7446 682586.282   1983.201
 R   2 G   7678538.7446 682545.149   2021.614
 R   2 G   8678538.7446 682739.811   2153.444
 R   2 G   9########### 682551.449   2103.181
 R   2 G  10########### 682714.996   2129.077
 R   2 G  11########### 682350.138   1889.467
 R   2 G  12########### 682136.574   1743.785
 R   2 G  13########### 682177.353   1719.852
 R   2 G  14########### 682083.192   1572.356
 R   2 G  15########### 682255.701   1637.513
 R   2 G  16########### 682209.145    1624.43
 R   2 G  17########### 682272.596   1574.949
 R   2 G  18########### 682149.173    1542.29
 R   2 G  19########### 682074.497    1575.98
